Año;Descripción del Peligro (Falla/Error) que afecta la Seguridad de Aeronave o Componente de Aeronave;Consecuencias Potenciales;"Nivel de Riesgo
(1 - 5)";Categoría del Peligro;Acrónimo Categoría;Código del Peligro;"Peligros
Ene";"HHT
Ene";"Peligros
Feb";"HHT
Feb";"Peligros
Mar";"HHT
Mar";"Peligros
Abr";"HHT
Abr";"Peligros
May";"HHT
May";"Peligros
Jun";"HHT
Jun";"Peligros
Jul";"HHT
Jul";"Peligros
Ago";"HHT
Ago";Peligros Sep;"HHT
Sep";"Peligros
Oct";"HHT
Oct";"Peligros
Nov";"HHT
Nov";"Peligros
Dic";"HHT
Dic";
2013;Ejecución de un trabajo sin contar con la atribución de su licencia básica aeronáutica.;Riesgo de ejecución incorrecta de tareas debido a la falta de acreditación necesaria.;4;Entrenamiento / Factor-Humano / Competencia del personal técnico;EFHC;P5.2;4;50087;0;50345;1;52098;5;53210;2;50124;4;53789;3;54876;1;50198;2;50321;0;54321;5;50432;2;52345;
2013;Efectuar un trabajo sin contar con la autorización de la empresa, cuando aplique (inspección o certificación).;Puede llevar a la realización de tareas sin la supervisión o aprobación necesaria.;3;Entrenamiento / Factor-Humano / Competencia del personal técnico;EFHC;P5.3;0;54897;3;54891;1;50567;4;51987;5;53123;2;50329;6;52012;0;54276;4;52897;1;54567;3;51987;5;51123;
2013;Certificar la conformidad de mantenimiento de un trabajo que exceda la atribución de su licencia aeronáutica.;Riesgo de la certificación incorrecta de trabajos que requieren habilidades adicionales.;4;Entrenamiento / Factor-Humano / Competencia del personal técnico;EFHC;P5.4;2;50976;4;53768;4;53429;0;54921;1;52654;5;53345;3;52456;2;51122;6;51347;1;55000;4;53541;0;55267;
2013;Efectuar un trabajo mientras se encuentra bajo la influencia del alcohol o sustancias prohibidas.;Puede resultar en ejecución incorrecta de tareas debido a la falta de juicio y concentración.;4;Entrenamiento / Factor-Humano / Competencia del personal técnico;EFHC;P5.5;5;52543;1;51423;2;50344;4;54827;3;53098;0;52123;5;54201;2;50345;1;53001;3;54876;4;50247;3;53678;
2013;Asignar un trabajo crítico de mantenimiento a una persona que haya excedido el periodo normal de trabajo diario.;Riesgo de ejecución incorrecta de tareas debido a la fatiga y el agotamiento.;4;Entrenamiento / Factor-Humano / Competencia del personal técnico;EFHC;P5.6;3;50532;0;52976;5;54982;1;52190;4;53729;3;51012;2;53684;4;53219;5;55000;0;53561;3;52986;1;54789;
2013;Ejecución de un trabajo con la licencia aeronáutica vencida.;Riesgo de ejecución incorrecta de tareas debido a la falta de acreditación.;4;Entrenamiento / Factor-Humano / Competencia del personal técnico;EFHC;P5.7;0;50438;5;52503;4;51257;6;52948;2;50876;1;53912;0;50127;3;52873;4;50787;4;54343;2;54524;5;50653;
2013;Detección de Factor-Humano calificado dentro de los (Dirty Dozen);Riesgo de errores debidos a factores humanos, incluyendo la falta de atención y la fatiga.;4;Entrenamiento / Factor-Humano / Competencia del personal técnico;EFHC;P5.8;4;52001;2;49054;0;51467;1;54192;3;53271;3;52101;0;53749;1;50376;2;53321;5;55089;3;52982;4;50456;
2013;Asignar la ejecución de un trabajo que exceda sustancialmente la capacidad física del personal de mantenimiento;Riesgo de ejecución incorrecta de tareas debido a la falta de capacidad física para realizarlas.;4;Entrenamiento y competencia del personal técnico;EFHC;P5.9;1;54785;3;55478;2;52199;4;53846;5;53373;0;50464;3;51463;2;52234;6;54043;1;54586;5;51439;0;52687;
2013;Exceder el periodo de aplicación de una inspección definida en el programa de mantenimiento.;Puede llevar a la falta de detección de problemas en el momento adecuado, aumentando el riesgo de fallas.;4;Aprobación de Retorno al Servicio / Conformidad de Mantenimiento ;RSCM;P6.1;3;52983;0;53427;4;54203;4;53243;2;52222;1;53457;5;51298;3;54316;0;53251;4;52038;3;50453;1;55002;
2013;No aplicar a tiempo una directiva de aeronavegabilidad o documento equivalente.;Riesgo de no realizar las actualizaciones o modificaciones necesarias en la aeronave.;4;Aprobación de Retorno al Servicio / Conformidad de Mantenimiento ;RSCM;P6.2;5;50392;2;50789;1;52935;0;53794;4;54838;3;54681;5;53222;6;53529;0;53676;2;50869;1;53778;3;54906;
2013;No efectuar la remoción y cambio de un elemento, cuando haya expirado su vida en servicio.;Riesgo de operar elementos más allá de su vida útil designada, lo que puede llevar a fallas críticas.;5;Aprobación de Retorno al Servicio / Conformidad de Mantenimiento ;RSCM;P6.3;3;54432;1;54213;4;52544;2;54832;3;53694;0;52367;5;51347;4;53122;2;54931;3;52076;1;52133;6;54478;
2013;Detección de un elemento, cuando haya expirado su vida en servicio.;Riesgo de operar elementos más allá de su vida útil designada, lo que puede llevar a fallas críticas.;5;Aprobación de Retorno al Servicio / Conformidad de Mantenimiento ;RSCM;P6.4;0;53567;3;50457;2;51824;1;53197;4;54903;5;50972;3;52088;0;53706;1;54789;2;52876;4;50396;1;53408;
2013;Detección de un elemento sospechoso de ser una Parte SUP, sin efectuar la notificación a la AAC.;Puede resultar en la falta de acción adecuada para abordar partes sospechosas de ser suplantadas.;4;Aprobación de Retorno al Servicio / Conformidad de Mantenimiento ;RSCM;P6.5;2;55012;4;54938;2;53201;1;50432;5;51672;0;53328;2;52149;3;54972;4;51143;1;52987;3;54564;5;50974;
2013;Efectuar un trabajo sin contar con el respaldo de una Orden de trabajo, Orden de ingeniería o documento equivalente.;Riesgo de ejecución de tareas sin una documentación adecuada que guíe el proceso.;3;Aprobación de Retorno al Servicio / Conformidad de Mantenimiento ;RSCM;P6.6;5;50389;0;53219;1;51127;3;53678;6;54712;2;52190;4;51588;0;53572;1;50496;2;53015;5;50713;3;54529;
2013;Certificar la conformidad de mantenimiento para el retorno al servicio, no detectando la existencia de ítems pendientes.;Riesgo de poner en servicio una aeronave con problemas no resueltos.;4;Control Calidad e Inspección ;CCI;P7.1;4;52019;2;51867;3;50421;2;53428;0;52114;1;54579;4;54826;4;52967;2;50389;5;50465;3;54689;0;52984;
2013;Incumplimiento del requisito de inspección/ supervisión de los trabajos efectuados por técnicos no experimentados.;Riesgo de realizar tareas sin la supervisión adecuada, lo que puede llevar a errores.;4;Control Calidad e Inspección ;CCI;P7.2;1;52413;2;53614;0;53209;5;54612;3;52734;1;50486;0;51132;2;53098;4;53809;2;52001;1;55028;5;55210;
2013;Efectuar un trabajo sin contar con las facilidades mínimas requeridas (aislamiento, ventilación, iluminación, ambiente controlado, etc.).;Riesgo de realizar tareas en condiciones no seguras o inadecuadas.;3;Control Calidad e Inspección ;CCI;P7.3;2;53312;4;52973;3;51425;0;52143;2;54765;1;53642;5;54877;3;50345;4;54921;5;55000;0;51578;2;53678;
2013;No fueron tomadas las acciones reactivas para resolver una no conformidad u observación detectada de la auditoría.;Riesgo de no abordar problemas identificados en auditorías, lo que puede llevar a la repetición de errores.;3;Control Calidad e Inspección ;CCI;P7.4;2;54621;0;50432;4;53784;1;51439;3;54987;5;52367;2;51238;0;52072;1;53218;4;53087;2;52672;3;51645;
2013;No actualizar un procedimiento de trabajo, requerido por una auditoría tendiente a evitar errores de mantenimiento.;Riesgo de no incorporar mejoras identificadas en auditorías en los procedimientos de trabajo.;3;Control Calidad e Inspección ;CCI;P7.5;0;50394;5;54568;2;53871;3;51167;1;53129;0;52698;4;50327;4;50456;5;53609;2;52019;3;54691;1;50523;
2013;No se informa al ejecutivo responsable de las No conformidades y observaciones detectadas en la auditoría.;Riesgo de no comunicar problemas identificados en auditorías, lo que puede llevar a la falta de acción correctiva.;3;Control Calidad e Inspección ;CCI;P7.6;3;51933;1;51162;0;50462;4;54902;4;53645;2;51849;5;52101;0;54678;3;54987;1;53211;4;53253;5;52591;
2013;No se aplica el seguimiento de las conformidades u observaciones detectadas.;Riesgo de no abordar problemas identificados en auditorías, lo que puede llevar a la repetición de errores.;3;Control Calidad e Inspección ;CCI;P7.7;1;52097;4;54896;2;50473;4;52176;3;53791;0;51121;5;54742;1;53618;3;53028;2;53257;4;52476;2;54621;
2013;Incumplimiento de la periodicidad del programa de capacitación y entrenamiento del personal de mantenimiento.;Riesgo de falta de competencia y habilidades actualizadas del personal de mantenimiento.;4;Control Calidad e Inspección ;CCI;P7.8;5;50378;3;51133;2;54629;0;53245;4;50458;1;53812;6;52102;2;54789;3;52847;0;52968;4;52587;5;50483;
2013;Discrepancias y daños del componente no detectadas;Puede llevar a la operación de componentes con problemas no detectados, aumentando el riesgo de fallas.;4;Control Calidad e Inspección ;CCI;P7.9;2;55678;2;53122;4;52932;0;53497;5;50452;3;54527;1;51128;0;54879;4;52794;4;52012;2;52039;1;48524;
2013;Fallas en la inspección en proceso;Riesgo de no detectar problemas críticos durante la inspección, lo que puede llevar a la falta de acción correctiva.;4;Control Calidad e Inspección ;CCI;P7.10;3;54823;0;52094;5;54623;1;53156;4;53654;4;53294;2;54511;5;52053;3;53726;0;52877;1;53607;4;48332;
2013;Baja rigurosidad y criterio técnico durante una inspección;Puede llevar a la falta de detección de problemas debido a la falta de atención o habilidad técnica.;4;Control Calidad e Inspección ;CCI;P7.11;0;52009;6;50372;3;53745;2;53238;1;54731;4;53113;5;51165;3;53611;2;50425;0;54661;2;51164;1;51252;
2013;Abastecimiento de combustible incumpliendo procedimientos estandarizados normativos;Riesgo de operar la aeronave con combustible de baja calidad o en cantidades incorrectas.;4;Prueba de Vuelo y Operacional ;PVOPS;P8.1;4;53728;1;54827;5;54668;4;53252;2;53179;0;53702;3;52984;4;52059;1;52083;5;54561;0;50476;6;49858;
2013;Golpe a la aeronave o hélice;Riesgo de daño estructural o de componentes críticos debido a impactos.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.2;2;50456;5;52056;0;54512;3;52937;4;53295;1;53236;4;53703;2;54786;0;51171;5;52078;4;50448;3;54932;
2013;Pérdida de potencia, Problemas de arranque, sobrecalentamiento;Riesgo de fallas en el motor que pueden llevar a una pérdida de control o daño.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.3;3;55024;0;53665;4;50441;2;53046;2;54664;1;54836;0;53757;5;51131;3;51122;2;52174;4;50493;1;52319;
2013;Problemas en los alerones, elevadores, timones, sistemas de dirección;Riesgo de pérdida de control de la aeronave debido a problemas en los sistemas de control.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.4;5;54845;2;54894;1;52042;6;50469;3;52948;4;53673;0;51133;5;54745;2;53205;6;53093;1;52077;3;55011;
2013;Fugas de combustible, obstrucciones en las líneas de combustible o problemas en los tanques de combustible;Riesgo de incendios o fallas en el motor debido a problemas en el sistema de combustible.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.5;0;50432;3;52097;5;53671;1;50491;4;53254;2;52989;4;54721;3;52084;0;53237;1;51159;4;54548;5;55517;
2013;Fallas en los generadores eléctricos, baterías, interruptores eléctricos y sistemas de iluminación;Riesgo de falta de energía eléctrica para sistemas críticos y la iluminación de la aeronave.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.6;4;53111;0;53267;2;50475;6;52942;5;54867;3;53648;4;53625;1;54795;2;54517;0;52037;4;53658;1;50783;
2013;Fallas en el sistema hidráulico controlan las superficies de control, el tren de aterrizaje;Riesgo de pérdida de control de la aeronave debido a problemas en el sistema hidráulico.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.7;5;54912;1;52897;4;53145;0;54436;3;50249;2;54008;5;55032;0;50459;4;51168;1;51887;4;53221;2;54932;
2013;Daños a la estructura de la aeronave, como grietas, corrosión o daños estructurales;Riesgo de pérdida estructural o de rendimiento de la aeronave debido a daños en la estructura.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.8;0;53112;5;50465;1;54861;4;53778;3;53321;2;51563;4;54876;1;54591;4;54895;3;53417;0;50432;5;50396;
2013;Fallas en los sistemas de comunicación, afección a la capacidad de la tripulación para comunicarse con el control del tráfico aéreo y otros aviones;Riesgo de falta de comunicación segura y efectiva, lo que puede llevar a situaciones peligrosas.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.9;2;54926;4;54964;3;51674;0;53598;1;50467;4;53296;2;54888;3;52019;0;52832;5;53341;4;53124;1;54774;
2013;Fallas en los sistemas de navegación, en errores de posicionamiento y dificultades para seguir rutas de vuelo planificadas.;Riesgo de pérdida de orientación y capacidad para seguir rutas de vuelo, lo que puede llevar a situaciones peligrosas.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.10;5;53578;1;54789;4;54811;2;53133;0;52096;3;53621;5;54697;1;54547;4;54536;0;51439;2;51364;3;54541;
2013;Piloto de prueba genera maniobra peligrosa;Riesgo de pérdida de control de la aeronave o daño debido a maniobras peligrosas.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.11;4;50469;0;53096;5;53568;3;54812;1;50476;4;52941;2;54678;4;53911;0;53792;1;54786;5;51735;3;49689;
2013;Impacto impacto con ave;Riesgo de daño estructural, fallas en motores o pérdida de control debido a colisiones con aves.;4;Prueba de Vuelo y Operacional ;PVOPS;P8.12;4;53087;2;52939;4;54588;0;53742;5;53516;3;52017;1;53122;4;50465;2;51328;0;54987;4;52238;1;53092;
2013;Falla en instrumento e indicadores del motor;Riesgo de operar con información inexacta o falta de información crítica sobre el motor.;4;Prueba de Vuelo y Operacional ;PVOPS;P8.13;0;54843;3;53076;4;51432;1;54632;2;54894;4;51888;5;54597;0;53737;3;54836;1;54965;4;54967;2;49785;
2013;Apagada de motor en vuelo;Riesgo de pérdida de potencia y control de la aeronave debido al apagado del motor en vuelo.;5;Prueba de Vuelo y Operacional ;PVOPS;P8.14;3;53128;0;54863;4;53291;2;50489;4;52891;1;51437;0;52032;5;54598;3;53148;2;53618;4;50847;1;52811;
